sample,group,potcformo,potcjap
SRR22822833,TWN,1,7.979627958898526e-236
SRR22822835,TWN,1,1.244966591311474e-239
SRR22822837,TWN,1,6.645507531228033e-194
SRR22822842,TWN,1,2.404269156672269e-201
SRR22822849,TWN,1,1.5607094620609802e-193
SRR22822852,TWN,1,2.2264374424284428e-190
SRR22822860,TWN,1,1.3664113616673188e-244
SRR22822862,TWN,1,8.033252616421943e-226
SRR25249025,POTCF,1,7.2135181081473e-176
SRR25249026,POTCF,1,7.101608991772987e-186
SRR25249027,CJPOT,0,1
SRR25249028,POTCF,1,1.839766412777042e-194
SRR25249029,CJPOT,1,3.376444818258461e-181
SRR25249030,POTCF,1,5.0381290101413295e-172
SRR25249031,CJPOT,2.3414849609295354e-268,1
SRR25249033,CJPOT,1,6.062115837125546e-39
SRR25249034,POTCF,1,1.2995596344162877e-172
SRR25249036,POTCF,1,1.5719091643329182e-184
SRR25249037,POTCF,1,5.487486955536069e-194
SRR25249038,POTCF,1,1.8393014555473295e-196
SRR25249040,CJPOT,7.979e-304,1
SRR25249041,CJPOT,0,1
SRR25249042,CJPOT,0,1
SRR25249043,CJPOT,0,1
