sample,group,potcformo,potcjap
SRR22822833,TWN,1,7.196453193035212e-221
SRR22822835,TWN,1,1.265490133585361e-224
SRR22822837,TWN,1,1.0207431294174683e-183
SRR22822842,TWN,1,3.575324833917875e-190
SRR22822849,TWN,1,3.4156032903501975e-184
SRR22822852,TWN,1,1.9077967080110896e-179
SRR22822860,TWN,1,6.492458293860095e-231
SRR22822862,TWN,1,3.150667325397251e-214
SRR25249025,POTCF,1,1.7026066236457095e-163
SRR25249026,POTCF,1,7.9670801928169565e-174
SRR25249027,CJPOT,0,1
SRR25249028,POTCF,1,8.352359073827407e-182
SRR25249029,CJPOT,1,4.0898795216125324e-170
SRR25249030,POTCF,1,2.8146263161971956e-160
SRR25249031,CJPOT,5.2593397143520296e-245,1
SRR25249032,CJPOT,1.4747703893987816e-164,1
SRR25249033,CJPOT,1,1.9726108290886468e-37
SRR25249034,POTCF,1,2.3338504759718662e-161
SRR25249035,CJPOT,1,1.8209573315908048e-43
SRR25249036,POTCF,1,2.8348649856889043e-172
SRR25249037,POTCF,1,3.1208754471225203e-181
SRR25249038,POTCF,1,7.984336954620702e-184
SRR25249039,CJPOT,1,3.875675081317979e-95
SRR25249040,CJPOT,1.1324256398356823e-286,1
SRR25249041,CJPOT,2.754842e-301,1
SRR25249042,CJPOT,1.2425971e-300,1
SRR25249043,CJPOT,5.383767615080059e-292,1
