sample,group,V1,V2
SRR22822833,TWN,1,7.196453193035214e-221
SRR22822835,TWN,1,1.2654901335853612e-224
SRR22822837,TWN,1,1.0207431294174683e-183
SRR22822842,TWN,1,3.5753248339178757e-190
SRR22822849,TWN,1,3.415603290350198e-184
SRR22822852,TWN,1,1.9077967080110896e-179
SRR22822860,TWN,1,6.492458293860095e-231
SRR22822862,TWN,1,3.1506673253972512e-214
SRR25249025,POTCF,1,1.7026066236457095e-163
SRR25249026,POTCF,1,7.9670801928169565e-174
SRR25249027,CJPOT,0,1
SRR25249028,POTCF,1,8.352359073827407e-182
SRR25249029,CJPOT,1,4.0898795216125324e-170
SRR25249030,POTCF,1,2.814626316197196e-160
SRR25249031,CJPOT,5.25933971435203e-245,1
SRR25249032,CJPOT,1.4747703893987818e-164,1
SRR25249033,CJPOT,1,1.9726108290886468e-37
SRR25249034,POTCF,1,2.3338504759718662e-161
SRR25249035,CJPOT,1,1.820957331590805e-43
SRR25249036,POTCF,1,2.8348649856889043e-172
SRR25249037,POTCF,1,3.120875447122521e-181
SRR25249038,POTCF,1,7.984336954620703e-184
SRR25249039,CJPOT,1,3.875675081317979e-95
SRR25249040,CJPOT,1.1324256398356823e-286,1
SRR25249041,CJPOT,2.754842e-316,1
SRR25249042,CJPOT,1.2425971e-316,1
SRR25249043,CJPOT,5.383767615080059e-301,1
