sample,group,potcjap,potcformo
SRR22822833,TWN,1e-5,0.99999
SRR22822835,TWN,1e-5,0.99999
SRR22822837,TWN,1e-5,0.99999
SRR22822842,TWN,1e-5,0.99999
SRR22822849,TWN,1e-5,0.99999
SRR22822852,TWN,1e-5,0.99999
SRR22822860,TWN,1e-5,0.99999
SRR22822862,TWN,1e-5,0.99999
SRR25249025,POTCF,1e-5,0.99999
SRR25249026,POTCF,1e-5,0.99999
SRR25249027,CJPOT,0.99999,1e-5
SRR25249028,POTCF,1e-5,0.99999
SRR25249029,CJPOT,1e-5,0.99999
SRR25249030,POTCF,1e-5,0.99999
SRR25249031,CJPOT,0.996592,0.003408
SRR25249032,CJPOT,0.826753,0.173247
SRR25249033,CJPOT,0.99999,1e-5
SRR25249034,POTCF,1e-5,0.99999
SRR25249035,CJPOT,0.816339,0.183661
SRR25249036,POTCF,1e-5,0.99999
SRR25249037,POTCF,1e-5,0.99999
SRR25249038,POTCF,1e-5,0.99999
SRR25249039,CJPOT,1e-5,0.99999
SRR25249040,CJPOT,0.99999,1e-5
SRR25249041,CJPOT,0.99999,1e-5
SRR25249042,CJPOT,0.99999,1e-5
SRR25249043,CJPOT,0.99999,1e-5
