sample,group,potcformo,potcjap
SRR25249025,POTCF,0.99999,1e-5
SRR25249026,POTCF,0.99999,1e-5
SRR25249027,CJPOT,1e-5,0.99999
SRR25249028,POTCF,0.99999,1e-5
SRR25249029,CJPOT,0.99999,1e-5
SRR25249030,POTCF,0.99999,1e-5
SRR25249031,CJPOT,1e-5,0.99999
SRR25249032,CJPOT,0.169842,0.830158
SRR25249033,CJPOT,0.02231,0.97769
SRR25249034,POTCF,0.99999,1e-5
SRR25249035,CJPOT,0.154919,0.845081
SRR25249036,POTCF,0.99999,1e-5
SRR25249037,POTCF,0.99999,1e-5
SRR25249038,POTCF,0.99999,1e-5
SRR25249039,CJPOT,0.99999,1e-5
SRR25249040,CJPOT,1e-5,0.99999
SRR25249041,CJPOT,1e-5,0.99999
SRR25249042,CJPOT,1e-5,0.99999
SRR25249043,CJPOT,1e-5,0.99999
