TDIV;CHANGM;SFS
805;95,0000000000;Less than 25% missing data
494;1,0000000000;Less than 25% missing data
795;139,0000000000;Less than 25% missing data
681;81,0000000000;Less than 25% missing data
700;125,0000000000;Less than 25% missing data
448;1,0000000000;Less than 25% missing data
997;113,0000000000;Less than 25% missing data
902;78,0000000000;Less than 25% missing data
898;117,0000000000;Less than 25% missing data
839;93,0000000000;Less than 25% missing data
515;1,0000000000;Less than 25% missing data
617;144,0000000000;Less than 25% missing data
737;91,0000000000;Less than 25% missing data
802;110,0000000000;Less than 25% missing data
952;127,0000000000;Less than 25% missing data
934;93,0000000000;Less than 25% missing data
599;149,0000000000;Less than 25% missing data
676;127,0000000000;Less than 25% missing data
782;111,0000000000;Less than 25% missing data
810;135,0000000000;Less than 25% missing data
634;89,0000000000;Less than 25% missing data
498;1,0000000000;Less than 25% missing data
620;139,0000000000;Less than 25% missing data
465;1,0000000000;Less than 25% missing data
431;1,0000000000;Less than 25% missing data
722;117,0000000000;Less than 25% missing data
866;105,0000000000;Less than 25% missing data
479;1,0000000000;Less than 25% missing data
789;121,0000000000;Less than 25% missing data
922;93,0000000000;Less than 25% missing data
684;89,0000000000;Less than 25% missing data
777;113,0000000000;Less than 25% missing data
801;69,0000000000;Less than 25% missing data
705;105,0000000000;Less than 25% missing data
848;94,0000000000;Less than 25% missing data
873;92,0000000000;Less than 25% missing data
739;143,0000000000;Less than 25% missing data
445;1,0000000000;Less than 25% missing data
823;77,0000000000;Less than 25% missing data
735;123,0000000000;Less than 25% missing data
530;2,0000000000;Less than 25% missing data
958;135,0000000000;Less than 25% missing data
825;91,0000000000;Less than 25% missing data
847;106,0000000000;Less than 25% missing data
866;128,0000000000;Less than 25% missing data
719;75,0000000000;Less than 25% missing data
759;100,0000000000;Less than 25% missing data
864;142,0000000000;Less than 25% missing data
765;133,0000000000;Less than 25% missing data
488;1,0000000000;Less than 25% missing data
903;93,0000000000;Less than 25% missing data
896;137,0000000000;Less than 25% missing data
762;141,0000000000;Less than 25% missing data
826;131,0000000000;Less than 25% missing data
743;94,0000000000;Less than 25% missing data
800;89,0000000000;Less than 25% missing data
874;111,0000000000;Less than 25% missing data
447;1,0000000000;Less than 25% missing data
946;106,0000000000;Less than 25% missing data
766;91,0000000000;Less than 25% missing data
853;117,0000000000;Less than 25% missing data
988;122,0000000000;Less than 25% missing data
866;93,0000000000;Less than 25% missing data
998;114,0000000000;Less than 25% missing data
871;130,0000000000;Less than 25% missing data
829;122,0000000000;Less than 25% missing data
769;106,0000000000;Less than 25% missing data
728;70,0000000000;Less than 25% missing data
871;120,0000000000;Less than 25% missing data
667;99,0000000000;Less than 25% missing data
536;1,0000000000;Less than 25% missing data
734;84,0000000000;Less than 25% missing data
842;102,0000000000;Less than 25% missing data
683;107,0000000000;Less than 25% missing data
858;102,0000000000;Less than 25% missing data
859;130,0000000000;Less than 25% missing data
898;103,0000000000;Less than 25% missing data
915;87,0000000000;Less than 25% missing data
685;122,0000000000;Less than 25% missing data
728;134,0000000000;Less than 25% missing data
721;83,0000000000;Less than 25% missing data
771;88,0000000000;Less than 25% missing data
763;123,0000000000;Less than 25% missing data
786;96,0000000000;Less than 25% missing data
906;96,0000000000;Less than 25% missing data
844;122,0000000000;Less than 25% missing data
663;85,0000000000;Less than 25% missing data
750;89,0000000000;Less than 25% missing data
881;98,0000000000;Less than 25% missing data
805;112,0000000000;Less than 25% missing data
621;109,0000000000;Less than 25% missing data
756;87,0000000000;Less than 25% missing data
466;1,0000000000;Less than 25% missing data
640;118,0000000000;Less than 25% missing data
843;90,0000000000;Less than 25% missing data
908;102,0000000000;Less than 25% missing data
918;114,0000000000;Less than 25% missing data
738;112,0000000000;Less than 25% missing data
713;128,0000000000;Less than 25% missing data
848;120,0000000000;Less than 25% missing data
295;1,0000000000;Full
303;1,0000000000;Full
471;117,0000000000;Full
412;74,0000000000;Full
318;1,0000000000;Full
285;1,0000000000;Full
314;116,0000000000;Full
314;1,0000000000;Full
294;1,0000000000;Full
417;167,0000000000;Full
234;1,0000000000;Full
392;1,0000000000;Full
384;125,0000000000;Full
317;1,0000000000;Full
330;1,0000000000;Full
305;1,0000000000;Full
554;155,0000000000;Full
296;1,0000000000;Full
299;1,0000000000;Full
336;106,0000000000;Full
474;93,0000000000;Full
330;1,0000000000;Full
342;1,0000000000;Full
351;1,0000000000;Full
372;126,0000000000;Full
408;178,0000000000;Full
166;1,0000000000;Full
436;87,0000000000;Full
230;2,0000000000;Full
417;158,0000000000;Full
385;71,0000000000;Full
236;1,0000000000;Full
310;1,0000000000;Full
277;1,0000000000;Full
340;1,0000000000;Full
325;1,0000000000;Full
338;1,0000000000;Full
551;102,0000000000;Full
318;1,0000000000;Full
493;117,0000000000;Full
324;1,0000000000;Full
488;105,0000000000;Full
343;1,0000000000;Full
341;1,0000000000;Full
416;1,0000000000;Full
433;125,0000000000;Full
435;154,0000000000;Full
346;122,0000000000;Full
349;115,0000000000;Full
365;1,0000000000;Full
370;1,0000000000;Full
320;1,0000000000;Full
291;1,0000000000;Full
277;123,0000000000;Full
375;1,0000000000;Full
215;1,0000000000;Full
395;1,0000000000;Full
517;103,0000000000;Full
436;125,0000000000;Full
461;146,0000000000;Full
366;1,0000000000;Full
379;101,0000000000;Full
391;1,0000000000;Full
326;1,0000000000;Full
521;165,0000000000;Full
437;96,0000000000;Full
286;1,0000000000;Full
367;1,0000000000;Full
316;1,0000000000;Full
424;115,0000000000;Full
213;1,0000000000;Full
266;1,0000000000;Full
249;1,0000000000;Full
281;1,0000000000;Full
299;1,0000000000;Full
586;134,0000000000;Full
364;1,0000000000;Full
286;1,0000000000;Full
319;1,0000000000;Full
419;135,0000000000;Full
358;1,0000000000;Full
347;1,0000000000;Full
352;107,0000000000;Full
376;1,0000000000;Full
283;1,0000000000;Full
321;1,0000000000;Full
231;2,0000000000;Full
663;158,0000000000;Full
373;150,0000000000;Full
329;1,0000000000;Full
378;1,0000000000;Full
325;1,0000000000;Full
286;1,0000000000;Full
495;122,0000000000;Full
450;153,0000000000;Full
386;1,0000000000;Full
370;1,0000000000;Full
314;1,0000000000;Full
307;1,0000000000;Full
376;1,0000000000;Full
33086;2414,3278064746;RNAseq only
51958;1136,9597172678;RNAseq only
34123;1223,0996150671;RNAseq only
14399;2191,2646942725;RNAseq only
3590;1236,5598716530;RNAseq only
12272;1824,9461124544;RNAseq only
